method,auroc,fpr95,tpr05
loss,77.6%,81.2%,32.0%
zlib,77.1%,78.8%,30.6%
mink_0.1,71.5%,87.2%,25.8%
mink_0.2,74.1%,83.4%,31.0%
mink_0.3,75.6%,84.6%,33.2%
mink_0.4,76.5%,82.0%,32.4%
mink_0.5,77.0%,80.4%,31.6%
mink_0.6,77.3%,80.6%,32.4%
mink_0.7,77.5%,80.8%,32.0%
mink_0.8,77.6%,81.4%,32.2%
mink_0.9,77.6%,81.2%,32.2%
mink_1.0,77.6%,81.2%,32.0%
mink++_0.1,56.8%,94.6%,10.8%
mink++_0.2,62.6%,90.0%,12.2%
mink++_0.3,65.5%,87.2%,13.8%
mink++_0.4,65.8%,86.6%,12.8%
mink++_0.5,65.4%,86.4%,12.4%
mink++_0.6,64.4%,86.8%,10.6%
mink++_0.7,63.2%,88.2%,12.2%
mink++_0.8,61.7%,88.4%,10.4%
mink++_0.9,60.1%,89.2%,8.4%
mink++_1.0,58.7%,89.8%,6.2%
