method,auroc,fpr95,tpr05
loss,75.6%,80.2%,29.0%
zlib,75.1%,77.8%,28.0%
mink_0.1,67.2%,85.8%,18.4%
mink_0.2,70.4%,83.8%,27.4%
mink_0.3,72.4%,85.4%,34.0%
mink_0.4,73.6%,84.0%,33.2%
mink_0.5,74.4%,82.2%,31.0%
mink_0.6,75.0%,80.8%,28.8%
mink_0.7,75.3%,80.6%,27.8%
mink_0.8,75.5%,81.2%,29.0%
mink_0.9,75.5%,81.2%,29.0%
mink_1.0,75.6%,80.2%,29.0%
mink++_0.1,50.4%,95.0%,8.2%
mink++_0.2,56.1%,93.0%,10.2%
mink++_0.3,59.9%,92.2%,12.6%
mink++_0.4,60.6%,90.2%,12.0%
mink++_0.5,60.4%,91.2%,9.2%
mink++_0.6,59.7%,92.2%,7.6%
mink++_0.7,58.4%,91.6%,7.4%
mink++_0.8,56.8%,92.0%,6.4%
mink++_0.9,55.2%,93.4%,5.2%
mink++_1.0,53.9%,94.2%,4.2%
