method,auroc,fpr95,tpr05
loss,93.7%,32.6%,79.8%
zlib,81.2%,65.2%,22.5%
mink_0.1,92.4%,38.2%,71.9%
mink_0.2,92.8%,41.6%,74.2%
mink_0.3,93.0%,40.4%,77.5%
mink_0.4,93.4%,33.7%,79.8%
mink_0.5,93.8%,31.5%,79.8%
mink_0.6,93.7%,32.6%,80.9%
mink_0.7,93.6%,32.6%,78.7%
mink_0.8,93.6%,32.6%,78.7%
mink_0.9,93.6%,32.6%,78.7%
mink_1.0,93.7%,32.6%,79.8%
mink++_0.1,68.0%,89.9%,23.6%
mink++_0.2,77.9%,80.9%,44.9%
mink++_0.3,78.6%,78.7%,47.2%
mink++_0.4,78.7%,78.7%,48.3%
mink++_0.5,79.2%,76.4%,48.3%
mink++_0.6,80.9%,73.0%,55.1%
mink++_0.7,83.0%,73.0%,53.9%
mink++_0.8,82.0%,71.9%,46.1%
mink++_0.9,76.9%,65.2%,37.1%
mink++_1.0,66.5%,91.0%,18.0%
