method,auroc,fpr95,tpr05
loss,91.9%,33.7%,59.6%
zlib,81.1%,66.3%,16.9%
mink_0.1,93.2%,38.2%,69.7%
mink_0.2,92.6%,40.4%,69.7%
mink_0.3,92.5%,41.6%,70.8%
mink_0.4,92.5%,33.7%,68.5%
mink_0.5,92.4%,33.7%,65.2%
mink_0.6,92.0%,33.7%,61.8%
mink_0.7,91.8%,33.7%,59.6%
mink_0.8,91.9%,33.7%,59.6%
mink_0.9,91.8%,33.7%,59.6%
mink_1.0,91.9%,33.7%,59.6%
mink++_0.1,62.2%,94.4%,25.8%
mink++_0.2,71.7%,73.0%,27.0%
mink++_0.3,72.2%,70.8%,27.0%
mink++_0.4,72.4%,70.8%,27.0%
mink++_0.5,72.8%,70.8%,27.0%
mink++_0.6,75.2%,69.7%,28.1%
mink++_0.7,79.1%,70.8%,31.5%
mink++_0.8,78.6%,69.7%,29.2%
mink++_0.9,73.8%,71.9%,27.0%
mink++_1.0,63.8%,85.4%,7.9%
