method,auroc,fpr95,tpr05
loss,87.4%,61.2%,58.2%
zlib,90.1%,56.7%,70.5%
mink_0.1,86.6%,67.9%,55.6%
mink_0.2,87.2%,66.8%,54.9%
mink_0.3,87.3%,62.7%,56.7%
mink_0.4,87.3%,62.3%,57.8%
mink_0.5,87.2%,61.6%,57.8%
mink_0.6,87.3%,61.9%,57.8%
mink_0.7,87.3%,61.9%,58.2%
mink_0.8,87.3%,61.9%,58.2%
mink_0.9,87.3%,61.6%,57.8%
mink_1.0,87.4%,61.2%,58.2%
mink++_0.1,79.4%,87.7%,50.4%
mink++_0.2,83.3%,79.5%,54.5%
mink++_0.3,83.9%,74.3%,54.1%
mink++_0.4,83.8%,76.1%,53.4%
mink++_0.5,83.4%,78.0%,51.9%
mink++_0.6,82.7%,76.5%,51.1%
mink++_0.7,81.4%,77.2%,45.5%
mink++_0.8,79.1%,81.3%,44.8%
mink++_0.9,74.9%,84.3%,30.2%
mink++_1.0,67.1%,86.9%,15.7%
