method,auroc,fpr95,tpr05
loss,84.3%,66.4%,41.4%
zlib,88.1%,64.6%,66.4%
mink_0.1,80.8%,77.2%,40.7%
mink_0.2,83.1%,71.6%,44.0%
mink_0.3,83.9%,67.5%,42.9%
mink_0.4,84.1%,66.8%,41.4%
mink_0.5,84.1%,69.0%,41.0%
mink_0.6,84.2%,68.3%,41.4%
mink_0.7,84.2%,66.8%,41.4%
mink_0.8,84.2%,66.0%,41.4%
mink_0.9,84.3%,66.4%,41.4%
mink_1.0,84.3%,66.4%,41.4%
mink++_0.1,69.2%,96.6%,31.0%
mink++_0.2,76.3%,92.9%,38.4%
mink++_0.3,77.8%,86.9%,36.9%
mink++_0.4,77.7%,84.0%,33.6%
mink++_0.5,77.0%,84.7%,35.1%
mink++_0.6,75.8%,85.4%,34.3%
mink++_0.7,73.7%,89.2%,31.7%
mink++_0.8,70.1%,91.8%,22.0%
mink++_0.9,63.5%,92.9%,5.2%
mink++_1.0,53.9%,93.3%,1.5%
