method,auroc,fpr95,tpr05
loss,60.6%,92.0%,11.6%
zlib,59.4%,92.0%,10.5%
mink_0.1,56.3%,91.5%,8.7%
mink_0.2,58.2%,91.0%,11.0%
mink_0.3,59.4%,91.8%,11.1%
mink_0.4,59.8%,91.8%,12.2%
mink_0.5,60.0%,92.1%,14.7%
mink_0.6,60.2%,91.8%,12.8%
mink_0.7,60.4%,91.3%,11.8%
mink_0.8,60.5%,91.5%,11.3%
mink_0.9,60.6%,92.0%,11.6%
mink_1.0,60.6%,92.0%,11.6%
mink++_0.1,55.8%,92.9%,8.4%
mink++_0.2,57.8%,90.4%,7.9%
mink++_0.3,58.6%,89.9%,8.8%
mink++_0.4,58.5%,90.7%,8.5%
mink++_0.5,58.2%,90.7%,10.2%
mink++_0.6,57.6%,91.3%,9.0%
mink++_0.7,56.9%,90.7%,9.1%
mink++_0.8,56.3%,91.0%,7.9%
mink++_0.9,55.6%,92.0%,7.4%
mink++_1.0,55.2%,93.2%,7.3%
