method,auroc,fpr95,tpr05
loss,53.3%,95.2%,8.3%
zlib,51.5%,94.7%,9.5%
mink_0.1,52.3%,95.0%,6.9%
mink_0.2,52.8%,95.7%,7.7%
mink_0.3,53.1%,95.1%,7.5%
mink_0.4,53.2%,95.0%,8.7%
mink_0.5,53.3%,94.5%,8.7%
mink_0.6,53.3%,94.9%,8.9%
mink_0.7,53.3%,95.1%,8.8%
mink_0.8,53.4%,95.3%,8.4%
mink_0.9,53.3%,95.4%,8.5%
mink_1.0,53.3%,95.2%,8.3%
mink++_0.1,50.1%,96.1%,5.5%
mink++_0.2,51.5%,95.3%,6.6%
mink++_0.3,52.3%,95.5%,6.7%
mink++_0.4,52.4%,95.8%,6.8%
mink++_0.5,52.4%,95.5%,7.0%
mink++_0.6,52.3%,95.7%,6.7%
mink++_0.7,52.2%,96.0%,7.1%
mink++_0.8,52.1%,95.6%,6.7%
mink++_0.9,51.9%,95.6%,6.4%
mink++_1.0,51.7%,95.4%,6.7%
