method,auroc,fpr95,tpr05
loss,55.0%,94.2%,11.4%
zlib,53.7%,94.3%,12.4%
mink_0.1,54.4%,94.1%,9.9%
mink_0.2,54.7%,94.7%,10.2%
mink_0.3,55.0%,94.3%,10.7%
mink_0.4,55.0%,94.4%,11.2%
mink_0.5,55.0%,94.6%,12.2%
mink_0.6,55.0%,94.5%,11.8%
mink_0.7,55.0%,94.6%,11.4%
mink_0.8,55.0%,94.3%,11.4%
mink_0.9,55.0%,94.0%,11.3%
mink_1.0,55.0%,94.2%,11.4%
mink++_0.1,52.2%,93.3%,7.7%
mink++_0.2,53.9%,93.5%,9.5%
mink++_0.3,54.5%,93.8%,10.9%
mink++_0.4,54.5%,94.0%,10.8%
mink++_0.5,54.5%,93.8%,10.3%
mink++_0.6,54.3%,94.0%,9.8%
mink++_0.7,54.1%,94.0%,9.6%
mink++_0.8,53.8%,93.8%,8.0%
mink++_0.9,53.3%,93.7%,7.5%
mink++_1.0,53.0%,93.4%,6.5%
