method,auroc,fpr95,tpr05
loss,78.1%,73.7%,32.0%
zlib,77.1%,73.5%,29.3%
mink_0.1,75.6%,78.2%,32.4%
mink_0.2,78.1%,74.5%,32.4%
mink_0.3,78.9%,73.9%,35.0%
mink_0.4,78.9%,75.4%,34.8%
mink_0.5,78.7%,76.2%,34.0%
mink_0.6,78.5%,75.2%,34.0%
mink_0.7,78.3%,75.4%,33.0%
mink_0.8,78.2%,74.5%,31.8%
mink_0.9,78.1%,74.1%,32.2%
mink_1.0,78.1%,73.7%,32.0%
mink++_0.1,61.5%,91.6%,14.5%
mink++_0.2,66.3%,87.8%,19.1%
mink++_0.3,68.4%,83.3%,20.8%
mink++_0.4,68.6%,82.5%,21.4%
mink++_0.5,68.5%,82.9%,20.2%
mink++_0.6,67.9%,84.3%,17.5%
mink++_0.7,66.9%,85.3%,16.9%
mink++_0.8,65.6%,87.0%,15.9%
mink++_0.9,63.8%,87.6%,16.5%
mink++_1.0,61.9%,88.2%,13.6%
