method,auroc,fpr95,tpr05
loss,65.6%,90.2%,23.7%
zlib,61.8%,90.9%,20.2%
mink_0.1,63.3%,93.5%,20.1%
mink_0.2,64.6%,91.6%,20.4%
mink_0.3,65.3%,91.0%,20.8%
mink_0.4,65.7%,90.9%,22.7%
mink_0.5,65.8%,90.5%,22.7%
mink_0.6,65.7%,90.7%,23.6%
mink_0.7,65.7%,90.3%,23.1%
mink_0.8,65.6%,90.0%,23.5%
mink_0.9,65.6%,90.3%,23.5%
mink_1.0,65.6%,90.2%,23.7%
mink++_0.1,60.8%,94.0%,16.2%
mink++_0.2,63.4%,93.4%,18.8%
mink++_0.3,64.2%,91.1%,19.5%
mink++_0.4,64.4%,91.4%,19.7%
mink++_0.5,64.4%,92.1%,19.0%
mink++_0.6,64.2%,91.1%,18.7%
mink++_0.7,63.7%,91.1%,18.2%
mink++_0.8,63.1%,91.7%,16.9%
mink++_0.9,62.2%,92.1%,15.0%
mink++_1.0,61.1%,92.7%,11.3%
