method,auroc,fpr95,tpr05
loss,62.6%,93.1%,19.6%
zlib,57.2%,93.3%,14.4%
mink_0.1,59.5%,92.7%,16.0%
mink_0.2,60.6%,92.9%,19.2%
mink_0.3,61.6%,93.8%,20.7%
mink_0.4,62.1%,93.5%,20.9%
mink_0.5,62.4%,93.3%,20.3%
mink_0.6,62.6%,92.7%,19.9%
mink_0.7,62.6%,92.5%,19.9%
mink_0.8,62.6%,92.8%,19.6%
mink_0.9,62.6%,93.1%,19.4%
mink_1.0,62.6%,93.1%,19.6%
mink++_0.1,54.8%,93.4%,10.1%
mink++_0.2,58.1%,93.6%,14.1%
mink++_0.3,59.4%,93.7%,15.3%
mink++_0.4,59.5%,93.5%,15.7%
mink++_0.5,59.4%,93.6%,16.2%
mink++_0.6,59.1%,93.0%,15.4%
mink++_0.7,58.5%,93.0%,13.6%
mink++_0.8,57.8%,92.8%,11.6%
mink++_0.9,57.0%,93.1%,11.0%
mink++_1.0,56.3%,94.3%,9.6%
